CRM_Transaction_IDs,Transaction_Amount,Addon_Value,Date,Wallet_Operator,Size,Quatity,Total_Kgs,Device_ID,UID-Connected,isNFT,isBetterCooking,Repossesed_Device_IDs,isClaimed
MP220407.0808.I17819,130.00,130.00,4/7/22,Airtel,30,1,30,,820050730,Yes,No,,Yes
MP220407.0847.H24014,130.00,130.00,4/7/22,Airtel,30,1,30,,820050327,Yes,No,,Yes
MP220407.1226.G28962,130.00,130.00,4/7/22,Airtel,30,1,30,,820050433,Yes,No,,Yes
MP220407.1233.G29182,130.00,130.00,4/7/22,Airtel,30,1,30,,,No,No,820050747,No
2921119161,130.00,130.00,4/7/22,MTN,30,1,30,,820050336,Yes,No,,Yes
MP220407.1249.G30006,130.00,130.00,4/7/22,Airtel,30,1,30,,820050643,Yes,No,,Yes
MP220407.1323.G31393,130.00,130.00,4/7/22,Airtel,30,1,30,,820050625,Yes,No,,Yes
MP220407.1336.L36174,130.00,130.00,4/7/22,Airtel,30,1,30,,820047285,Yes,No,,Yes
MP220407.1347.G32761,130.00,130.00,4/7/22,Airtel,30,1,30,,,No,No,820050303,No
MP220407.1422.I34345,130.00,130.00,4/7/22,Airtel,30,1,30,,820050425,Yes,No,,Yes
MP220407.1433.K36574,130.00,130.00,4/7/22,Airtel,30,1,30,,820050680,Yes,No,,Yes
MP220407.1506.J36437,130.00,130.00,4/7/22,Airtel,30,1,30,,820050691,Yes,No,,Yes
MP220407.1535.I37948,130.00,130.00,4/7/22,Airtel,30,1,30,310035031,820050461,Yes,No,820050461,Yes
MP220407.1545.H43566,130.00,130.00,4/7/22,Airtel,30,1,30,,820050655,No,No,,No
MP220407.1556.H43995,130.00,130.00,4/7/22,Airtel,30,1,30,,820047343,Yes,No,,Yes
MP220407.1602.K40477,130.00,130.00,4/7/22,Airtel,30,1,30,,820046796,Yes,No,,Yes
MP220407.1607.G39364,130.00,130.00,4/7/22,Airtel,30,1,30,,820050466,Yes,No,,Yes
MP220407.1616.G39815,120.00,130.00,4/7/22,Airtel,30,1,30,,820046856,Yes,No,,Yes
MP220407.1640.K42826,130.00,130.00,4/7/22,Airtel,30,1,30,310032589,820050636,Yes,No,820050636,Yes
MP220407.1701.L48248,130.00,130.00,4/7/22,Airtel,30,1,30,,820046835,Yes,No,,Yes
MP220418.1835.I95629,130.00,130.00,4/18/22,Airtel,30,1,30,,820050433,Yes,No,,
MP220423.1638.H62240,130.00,130.00,4/23/22,Airtel,30,1,30,,,No,No,820050303,No
MP220426.0813.I32671,60.00,60.00,4/26/22,Airtel,20,1,20,,820050336,Yes,No,,
