Transaction_ID,Transaction_date,Telco,Device_ID,Amount,Currency,Country,Bag_Size,Quantity,Mass
MP220209.1033.J86848,2022/02/09 10:33,AIRTEL,310054900,60,ZMW,ZM,20,1,20
MP220209.1216.G01879,2022/02/09 12:16,AIRTEL,310034885,260,ZMW,ZM,50,2,100
MP220209.1415.K92780,2022/02/09 14:15,AIRTEL,310035335,130,ZMW,ZM,50,1,50
MP220209.1445.K93915,2022/02/09 14:45,AIRTEL,310052408,130,ZMW,ZM,50,1,50
MP220209.1508.I04094,2022/02/09 15:08,AIRTEL,310035075,60,ZMW,ZM,20,1,20
MP220209.1625.G11989,2022/02/09 16:25,AIRTEL,310034709,42,ZMW,ZM,20,1,20
MP220210.1353.G50402,2022/02/10 13:53,AIRTEL,310052043,20,ZMW,ZM,5,1,5
MP220211.1556.J90458,2022/02/11 15:56,AIRTEL,310033253,91,ZMW,ZM,50,1,50
MP220212.1019.G28095,2022/02/12 10:19,AIRTEL,310002192,60,ZMW,ZM,20,1,20
MP220214.1104.L28844,2022/02/14 11:04,AIRTEL,310055271,60,ZMW,ZM,20,1,20
2810963132,2022/02/14 14:16,MTN,310036902,130,ZMW,ZM,50,1,50
MP220215.1111.L68430,2022/02/15 11:11,AIRTEL,310038500,60,ZMW,ZM,20,1,20
2812760856,2022/02/15 12:22,MTN,310033279,60,ZMW,ZM,20,1,20
MP220215.1446.L77526,2022/02/15 14:46,AIRTEL,310036535,60,ZMW,ZM,20,1,20
MP220216.1317.J06171,2022/02/16 13:17,AIRTEL,310034609,60,ZMW,ZM,20,1,20
MP220217.1533.J55101,2022/02/17 15:33,AIRTEL,310050169,20,ZMW,ZM,5,1,5
MP220218.1155.L11118,2022/02/18 11:55,AIRTEL,310034097,60,ZMW,ZM,20,1,20
MP220218.1342.G08058,2022/02/18 13:42,AIRTEL,310003327,130,ZMW,ZM,50,1,50
MP220222.1419.L17113,2022/02/22 14:19,AIRTEL,310034098,60,ZMW,ZM,20,1,20
MP220223.1634.L23901,2022/02/23 16:34,AIRTEL,310002192,20,ZMW,ZM,5,1,5
MP220224.1119.K13246,2022/02/24 11:19,AIRTEL,310056497,60,ZMW,ZM,20,1,20
MP220225.1023.J65165,2022/02/25 10:23,AIRTEL,310038398,20,ZMW,ZM,5,1,5
MP220225.1348.J73698,2022/02/25 13:48,AIRTEL,310052043,60,ZMW,ZM,20,1,20
MP220225.1551.G80057,2022/02/25 15:51,AIRTEL,310056462,60,ZMW,ZM,20,1,20
MP220226.0948.L12094,2022/02/26 09:48,AIRTEL,310052408,130,ZMW,ZM,50,1,50
MP220226.1001.H13118,2022/02/26 10:01,AIRTEL,310002192,20,ZMW,ZM,5,1,5
MP220228.0942.J29265,2022/02/28 09:42,AIRTEL,310035335,60,ZMW,ZM,20,1,20
MP220228.1012.J30641,2022/02/28 10:12,AIRTEL,310054739,120,ZMW,ZM,20,2,40
